,проблема,ответ-скрипт,какие дальше дествия,,
Вы вернули деньги,," Здравствуйте. всеми финансовыми возвратами занимается сам валберис. не мы. мы продаем на его площадке. напишите в тех. поддержку самого валберис пожалуйста и уточните. у вех разные условия покупок (кто-то покупает по кредитной карте ВБ, кто то дебетовой картой оплачивает)",,,
,ответ на непонятный вопрос,"«Здравствуйте! Благодарим за интерес к нашему автомату с орбизами. Пожалуйста, уточните, что именно вас интересует, и мы с радостью предоставим необходимую информацию».",,,
,,,,,
,общий ответ возврата для ВБ,"На вб вернуть с браком только через заявку. Если брака нет, то можно просто принести в пвз и вернуть все в течение 14 дней.
",,,
,общий ответ возврата для озон,"
На озоне все возвраты через заявку, озон сам одобряет, тоже в течение 14 дней",,,
,,,,,
,адрес нашего склада,адрес нашего склада: г. Казань. 1я Вольская д.32,,,
,адрес нашего офиса,"адрес нашего офиса: г. Казань. Сибирский тракт 78, этаж 2, офис 216
",,,
,где можно забрать флешку в Казани,"доброе утро. адрес нашего склада: г. Казань. 1я Вольская д.32,  адрес нашего офиса: г. Казань. Сибирский тракт 78, этаж 2, офис 216
. но надо предварительно созвониться чтоб были на месте и договорится. номер телефона +7 995 366-60-85",,,
В чем причина переноса товара?,,"Ильсина, здравствуйте. Мы отгружаем товар на склад ВБ и далее доставка происходит силами партнера. По данному вопросу лучше написать в службу поддержки ВБ, потому что после отгрузки, к сожалению, мы никак не можем повлиять на процесс доставки. Нам искренне, жаль, что случилось подобная ситуация. Надеемся, что товар прийдет к Вам в ближайшее время. С уважением, команда MalDina",,,
,если на ответ нужно много времени,Для решения вашего вопроса понадобится больше времени. Чуть позже обязательно вернемся с ответом.,,,
,,"здравствуйте. или Ва алейкум ассалям. простите, что ответили не сразу. были технические неполадки у нас. какой у вас вопрос? пришлите фото лампы и коробки или скрин покупки, чтоб понять какая у вас модель",,,
,,Здравствуйте. Просим прощения за задержку с ответом. по техническим причинам не было,,,
,,"Просим прощения за задержку с ответом, нужно было время для решения вашего вопроса, т.к. столкнулись с такой проблемой впервые. Ответили вам. Давайте вместе разберемся, в чем может быть проблема",,,
,для возврата,"Здравствуйте.  На фото и видео не понятно брак ли это на самом деле. Многие возвраты как брак рабочие. Пожалуйста, свяжитесь с нами чате поддержке по WhatsApp 7 (962) 559-29-48. постараемся вам помочь разобраться что за проблема и в чем причина. если подтвердится что брак, заберем обязательно. С уважением команда MalDina.","Здравствуйте.  На фото и видео не понятно брак ли это на самом деле. Пожалуйста, свяжитесь с нами по WhatsApp 7 (962) 559-29-48. постараемся вам помочь разобраться что за проблема и в чем причина. если подтвердится что брак, заберем обязательно",,
Все не так как описывается,,"Здравствуйте, Виктор! Благодарим вас за отзыв о нашем товар. Нам очень жаль, что ваши ожидания не оправдались.
Чтобы мы могли разобраться в ситуации более детально, пожалуйста, уточните, что именно не соответствует описанию?
Если у вас есть конкретные замечания или пожелания, мы готовы их обсудить и предложить возможные решения. Вы можете связаться с нашей службой поддержки по WhatsApp 7 (962) 559-29-48
С уважением, команда MalDina",,,
нет инструкции.,все лампы,"Здравствуйте, Нажмия. Приносим прощения. Пожалуйста, свяжитесь с нами в чате поддержки по вотсап 7 (962) 559-29-48 отправим вам инструкцию и ответим на любые ваши вопросы по функционалу лампы",,,
"Ассаламу алейкум, пожалуйста, подскажите, есть ли в лампе режим повтор одной суры для заучивание?",,"Ва алейкум ассалям. На пульте есть кнопка ""повтор"". Нажимая на нее, можно повторять воспроизведение фрагмента. При возникновении вопросов по товару вы всегда можете обратиться в наш чат поддержки номер телефона указан на визитке или в инструкции",,,
ЛАМПЫ,,,,,
,,,,,
,ссылка на батарейки пальчики ААА,https://www.wildberries.ru/catalog/251344184/detail.aspx,,,
"Нажимаю но переводит только Коран, хадисы и тафсиры не переводит",,"Да, только Коран переводит",,,
можно заряжать лампу быстрой зарядкой,все,"Здравствуйте, уважаемый покупатель. в лампе нет функции быстрой зарядки. если про блок питания 45-65 ватт, то заряжать можно, но скорость зарядки не увеличит",,,
Заявка на брак в ЛК,,"Здравствуйте. 
На фото, видео точно не получилось выявить брак. 
Среди возвратов как брак много работающих исправно. 
В вашем случаи попробуйте несколько раз подряд нажать на кнопку включения. 
В любом случаи, свяжитесь с технической поддержкой по ватсапу +7 962 559-29-48
Постараемся помочь. Если не получится обязательно одобрим заявку на брак. ",,,ответ на 4 звезды
Покупала у вас лампу но я не могу его включить без блютуза,,"Здравствуйте, уважаемый покупатель. есть разные причины (не верно включают лампу, надо по инструкции, скрытый брак, его можно выявить прислав нам видео в чат поддержки...) свяжитесь с нами по WhatsApp 7 (962) 559-29-48. мы постараемся выяснить и помочь. если будет брак сделаете возврат. С уважением команда MalDina.",,,
как удалить отзыв в ВБ,,"через комп - зайти в ЛК - профиль - отзывы и вопросы - отзывы - 3 точки на нужном - удалить. через телефон - зайти в ЛК - отзывы и вопросы - отзывы - дополнить отзыв - и там написать заново отзыв, можно кратко (можете написать правду, что хотели роликовую накидку, попросили одобрить вам возврат. поставщик возврат одобрил) и по возможности изменить количество звезд на максимальное, чтоб нам не портить рейтинг товара",,,
,,,,,"Здравствуйте, уважаемый пользователь, будем рады обратной связи, если вы дополните отзыв и напишите, почему 4 звезды. Нам важно получать обратную связь от наших покупателей – это позволяет нам совершенствовать подбор товаров и работать над качеством наших предоставленных у нас товаров.  Желаем вам отличного настроения и приятных впечатлений от вашей покупки ☺
С наилучшими пожеланиями, Команда магазина MalDina.
"
,приветствие в чате покупателей,"здравствуйте, это чат поддержки покупателей магазина MalDina. может у вас какой-то есть вопрос или нужна помощь? на связи в будние дни с 9 до 18, в выходные у нас тоже не рабочие дни, приносим свои извинения","здравствуйте, это чат поддержки покупателей магазина MalDina. на связи в будние дни с 9 до 18, в выходные у нас тоже не рабочие дни, приносим свои извинения. пришлите фото лампы и коробки или скрин покупки. чтоб понять какая у вас модель",,
,ответ после выходных ,"Здравствуйте. приносим извинения за долгое ожидание ответа. мы на связи в будние дни, в выходные у нас не рабочие дни.",,,
,уточнить модель,"Здравствуйте. приносим извинения за долгое ожидание ответа. пришлите фото лампы и коробки или скрин покупки, чтоб понять какая у вас модель",,,
,,,,,
,брак флешки в лампе со съемной,"Хусейн, здравствуйте. мы всегда идем на встречу нашим покупателям. просим для начала связаться с нами по ват. сап в нашем чате поддержки 7, 9 шесть 2 5 пять 9 два 9 четыре 8. часто покупатели не верно подключают (не по инструкции), не выполняют все шаги, бывает и брак флешки, который выясняется, когда покупатели показывают на видео, что делаю в инструкции все по шагам. и в этой модели лампы очень удобно. съемная флешка, которую легко заменить. свяжитесь с нами , мы все выяснить, найдем причину. и если на самом деле брак вернете ее без проблем. С уважением команда MalDina.",,,
не могут включить лампу,не работает,здравствуйте. покажите на видео как вы включаете лампу,,,"ответ на 1,2,3 звезды"
"Если видим, что они неправильно делают (нажимают на пульт без подсветки)",,"здравствуйте. сначала включить подсветку наводя пальцем на зарядный разъем на 1-2 сек, потом нажать кнопку включения на пульте. ",,,"уважаемый пользователь, здравствуйте. Спасибо за обратную связь и оказанное доверие. Мы крайне огорчены данной ситуацией и прекрасно понимаем Ваши эмоции. но возврат денег на карту не предусмотрен правилами площадки.
и сами огорчены низкой оценкой с вашей стороны, ведь товар вернули, а у нас оценка с 1 звездой осталась(
С наилучшими пожеланиями, Команда магазина MalDina.
"
,для лампы цилирндр без часов,"Здравствуйте, просим прощение за ожидание ответа.. спасибо за фото. давайте попробуем по шагово по инструкции все сделать.

1. вначале зарядить лампу около 2 часов (может не зарядили ее?
2. включите на самой лампе кнопку вкл. (она крайняя слева) 
3. Для переключения цвета свечения лампы прикоснитесь к ней сверху, либо используйте пульт или приложение.
4. вставить батарейки в пульт
5. включить кнопку вкл на самом пульте (нажать несколько раз на кнопку вкл)
6.. включите звук помаксимому на пульте (тк на производстве звук может быть отключен изначально)
напишите нам видео. попробуем разобраться в чем причина",,,
,для лампы цилирндр с часами,"Здравствуйте, просим прощение за ожидание ответа. давайте попробуем по шагово по инструкции все сделать.

1. вначале зарядить лампу около 2 часов (может не зарядили ее?
2. включите выключатель сзади на панели, перещёлкнув его на ON. 
3. Нужно нажать на кнопку включения (самая правая), нажав на кнопку М можно выбрать режим чтения Корана или режим блютус. Также для этого можно использовать пульт или приложение. 
4. Для переключения цвета свечения лампы прикоснитесь к ней сверху, либо используйте пульт или приложение.
5. вставить батарейки в пульт
6. включить кнопку вкл на самом пульте (нажать несколько раз на кнопку вкл)
7. включите звук помаксимому на пульте (тк на производстве звук может быть отключен изначально)
напишите нам видео. попробуем разобраться в чем причина
",,,
"Если видим, что они неправильно делают подсветка есть, но на пульте на кнопку включения не нажимают)",для лампы Луна,"Здравствуйте, включите лампу по инструкции. 
Инструкции включения  лампы Коран Луна

1. вначале зарядить лампу около 2 часов
2. прикоснутся к сенсорной кнопке 1-2 сек (которая находится в области разъема на самой лампе) чтоб включить подсветку на самой лампе
3. вставить батарейки в пульт
4. включить кнопку вкл на самом пульте (нажать несколько раз на кнопку вкл)
5. включите звук помаксимому на пульте (тк на производстве звук может быть отключен изначально)
напишите нам видео. попробуем разобраться в чем причина
",,,
"Если же видим, что делают правильно, но после включения говорит что блютуз подключен.",,"вы делаете все верно. но нажмите на кнопку блютуза справа сверху, может просто случайно его включили. ",,,
,"все равно не отключается блютуз (хоть делают все верно), это брак. предлагаем бесплатно нашу флешку.","К сожалению, вам попался брак, флэшка вышла из строя. С электроникой такое бывает. Но в новых моделях флешки легко заменяемые. Мы бесплатно даем флешки в таких случаях.
В этом нет рисков, вы можете заказать товар, прямо при получении в ПВЗ проверить лампу Коран, и стоимость флешки вам на карту переведем. 
Можете купить где удобнее
https://mm.ru/product/2360882
https://www.wildberries.ru/catalog/296022245/detail.aspx

Извините за неудобства, с электроникой такое бывает. 

Или же, если вы из Казани, можем обменять на складе и сделать подарок)
","Заказывают, потом деньги переводим за флешку (после получения флешки). Держим на контроле, после получения флешки спрашиваем как работает. ",,"Здравствуйте, уважаемый пользователь. очень сожалеем о вашем разочаровании. но товар надлежащего качество. у него очень высокий рейтинг и он выполняет весь заявленный функционал. мы проверяем на брак вручную весь наш товар перед отправкой на склад ВБ и специально помещаем визитку с обратной связью где есть и QRкод группы поддержки и наш телефон. если что-то не получается настроить можно просто связать с нами и мы с радостью поможем вам. Если не получится - свяжитесь по наш What сап 7 (962) 559-29-48. надеемся что научившись настраивать лампу вы получите удовольствие. С уважением команда MalDina."
,,,,,
,хотим подарок,"Здравствуйте. Пришлите скрин отзыва на товар, который приобрели и мы незамедлительно отправим вам небольшой денежный подарок. если не оставляли еще отзыв, то если не сложно сделать с фото и видео. мы будем вам очень благодарны. С уважением команда MalDina.",,,
,если не оставили отзыв,"Добрый день. Если вас не затруднит, и вы не оценили наш товар при покупке и не оставили там отзыв очень были б вам благодарны за отзыв с фото и видео. сделайте скрин отзыва и мы отправим вам небольшой денежный подарок. 

мы очень стараемся оказывать качественный сервис и нам невероятно приятно было б читать ваши положительные отзывы с высокими оценками",,,
,,пришлите скрин отзыва и мы незамедлительно перечислим вам бонус,,,
,,благодарим. куда перечислить вам небольшой денежный подарок за отзыв?,,,
,благодарим за отзыв,"благодарны вам за отзыв. Пусть в Вашем доме будет всегда спокойствие, радость, достаток и уют!!! Ждем Вас за покупками в нашем магазине вновь
С наилучшими пожеланиями, Команда магазина MalDina.
","Ва алейкум ассалям. . Пользуйтесь во благо! Для нас очень важно чтобы каждый клиент остался доволен покупкой. Будем стараться в дальнейшем только радовать Вас высоким качеством и широким ассортиментом товаров. Рекомендуйте нас своим друзьям и близким. Желаем Вам только приятных покупок. С уважением, Команда магазина MalDina.",,
,,,,,
,"если все получилось установить у покупателя, предложить ему остаить отзыв","Здравствуйте, уважаемый покупатель. Ва алейкум ассалям. очень рады, что все работает. если вы не оценили нашу лампу при покупке и не оставили там отзыв очень были б вам благодарны за отзыв с фото и видео. пришлите скрин отзыва и мы перечислим вам небольшой денежный подарок (укажите банк на который отправить вам перевод)",,,
кабель зарядки для ламп,,https://www.wildberries.ru/catalog/282188466/detail.aspx ,,,
что проверить в лампе цилиндр без часов,112,"проверить, стоит ли сзади флешка, включить пультом кнопкой включения, попробовать переключать цвета, прибавить звук до максимума на пульте",,,
ассаляму Алейкум варахматуллахи ва баракатух. подскажите пожалуйста а звук на лампе стерео или моно? если можно но есть ли варианты со стереозвуком?,моно звучание,Ва алейкум ассалям ва рахматуллахи ва баракатух. во всех наших лампах моно звучание,,,
какая модель пульта идет на арабском?,пульт на арабском,"Здравствуйте. к сожалению ту модель, которую вы выбрали мы можем приложить вам только с пультом на русском. Луна и вселенная с пультом на русском.  а вот лампа цилиндры с пультом на английском + снизу подписи на арабском. артикул 464097890 на озон этой лампы. ждем вас за покупками в нашем магазине.  С уважением, Команда магазина MalDina.",,,
как слушать лампу на русском?,,"Точно есть. Это не редкая проблема. Когда люди нажимают на языки настроек внизу, там в стандартной версии английский и арабский только. Нужно на языки перевода нажимать.",,,
"не можем скачать приложение, оно открывается как картинка",,Включить впн и скачать приложение по qr-коду,,,
"Скажите пожалуйста, а ""Бакара "" есть в списке нашидов?",,"Умида, здравствуйте. да, Сура аль Бакара есть в списке сур . .....Сура аль Бакара один из сур Корана. Он есть в списке сур",,,
,,,,,
"Заряжала несколько часов. Индикатора зарядки нет, не понятно на сколько заряжен или разряжен ли он.",,"жаль, что вам не понравилась наша лампа. В комплекте есть подробная инструкция, а также алгоритм включения лампы. Во время зарядки лампа минает зеленым, когда зарядилась - горит зеленым без мегания. При возникновении трудностей или вопросов, рекомендуем обращаться в наш чат поддержки (в будние дни).",,,
"лампа не держит заряд, 10 мин и потом отключаетсяя",,,,,
"здравствуйте, как включить не однотонную подсветку в лампе луна?",,"Здравствуйте, уважаемый покупатель. зарядите лампу, прикоснитесь пальцем к сенсорной кнопки, находящейся в области подключения кабеля к лампе. переключайте цвета до тех пор, пока не включится режим с меняющимися цветами. если будут вопросы спрашивайте нашем в чате поддержки покупателей по WhatsApp 7 (962) 559-29-48. Ждем Вас за покупками в нашем магазине вновь С наилучшими пожеланиями, Команда магазина MalDina.",,,
Здраствуйте 211880898 эта лампа оригинал?,,"Здравствуйте, уважаемый покупатель. мы продаем все наши лампы под брендом MalDina Lamps, работаем на прямую с заводом. являемся первыми поставщиками. Ждем Вас за покупками в нашем магазине. С уважением, Команда магазина MalDina.",,,
,,,,,
минус что русского языка нет в лампе цилиндр,,"Мадина, здравствуйте. Точно есть. Это не редкая проблема. Когда люди нажимают на пульте на языки настроек внизу, там в стандартной версии английский и арабский только. Нужно на языки перевода нажимать. если надо помощь, свяжитесь с нами в чате поддержки покупателей по WhatsApp 7 (962) 559-29-48. если будут вопросы спрашивайте. постараемся вам помочь. надеемся, что разберетесь и будите получать удовольствие от работы лампы",,,
,,,,,
можно ли вообще выключить свет  чтоб лампа играла или только на минимум его сделать?,,"Нажимать на пульте на кнопку изменения яркости, пока не погаснет",,,
Многие пишут про подарки,,"Здравствуйте. Вы можете получить небольшой денежный подарок, для этого нужно оставить отзыв на сайте и прислать сюда скрин отзыва","После того, как показали спрашиваем куда перевести деньги и отправляем, потом благодарим за отзыв",,
,,благодарим. куда перечислить вам небольшой денежный подарок за отзыв?,,,
,,"благодарны вам за отзыв. Пусть в Вашем доме будет всегда спокойствие, радость, достаток и уют!!! Ждем Вас за покупками в нашем магазине вновь
С наилучшими пожеланиями, Команда магазина MalDina.
",,,
,,,,,
про инструкцию ,лампа луна и вселенная,"подскажите на самом ли деле нет инструкции внизу или мелко написано.  Отправляем инструкцию: для Луны и Вселенной https://disk.yandex.ru/i/Gc3mKuW4immCgw 
",,,
,цилиндр,"подскажите на самом ли деле нет инструкции внизу или мелко написано. 
Для цилиндра с часами https://disk.yandex.ru/d/bGEIhc_YQn_LmQ  ","У цилиндров была партия, в которой не правильная инструкция была",,
почему пульт такой дорогой?,пульт,"Alsu, здравствуйте. подпишитесь на наш магазин и будет при акциях возможность заказать их по выгодной цене. если пульт у вас вышел из строя и вы сделали покупку  лампы у нас, пока лампа на гарантии мы заменяем пульт бесплатно",,,
"Скажите, пожалуйста, нужно ли его каждый раз заряжать лампу",,лампа когда заряжается. мигает . зарядка около 4 часов. как зарядилась перестает мигать и светиться. когда лампе нужна зарядка она пердупреждает об этом вас,,,
есть гарантия что не взорвётся?,,Здравствуйте. торгуем этими лампами несколько лет. нет таких проблем,,,
,,,,,
,,,,,
,,,,,
как настроить часы на лампе цилиндр,,"Долгое нажатие на М
Ввести часы кнопкой +
Долгое нажатие на М
Ввести минуты кнопкой +
",,,
как управлять кропками на лампе цилиндр,,"1. Смена режима: чтение Корана/режим блютус. Также используется для установки времени.
2. Коротнкое нажатие - выбор предыдущей суры. Долгое нажатие - уменьшение громкости. Также используется для установки часов.
3. Короткое нажатие - выбор следующей суры. Долгое нажатие - увеличение громкости.
4. Кнопка включения. Когда лампа включена - пауза/воспроизведение.",,,
АССАЛАМУАЛЕЙКУМ КАКИЕ КНОПКИ УПРАВЛЕНИЯ НА САМОЙ ЛАМПЕ цилиндр?,,"Ва алейкум ассалям. у нас специальный слайд в карточки, где расписано как управлять лампой. 

если смотрим на лампу (кнопки слева на право) 
1. Смена режима: чтение Корана/режим блютус. Также используется для установки времени.
2. Коротнкое нажатие - выбор предыдущей суры. Долгое нажатие - уменьшение громкости. Также используется для установки часов.
3. Короткое нажатие - выбор следующей суры. Долгое нажатие - увеличение громкости.
4. Кнопка включения. Когда лампа включена - пауза/воспроизведение.

ждем вас за покупками в нашем магазине. 
С наилучшими пожеланиями, Команда магазина MalDina.",,,
"Как перевод отключить, чтоб чисто на арабском читал. А то приложение на английском не нашла , как отключить",,"Чтобы прям полностью все было на арабском - такого нет. Именно чтение сур можно слушать без перевода, чисто на арабском. Нужно кнопкой ""режим"" выбрать режим одиночного чтения",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
какое приложение установить для Android? не могу найти по коду,,"Здравствуйте, уважаемый покупатель. приложение Koran Player. если надо ссылка на него напишите нам в чат поддержки по What сап 7 (962) 559-29-48",Включить впн и скачать приложение по qr-коду,,
,,,,,
Как подкючить колонку к приложению ?,лампа ШАР,"Здравствуйте, уважаемый покупатель.  
Для установления приложения сделайте следующее:

1. Вначале зарядите лампу около 2 часов.
2. Включите лампу, прикоснувшись к сенсорной кнопке 1-2 секунды (которая находится в области разъема на самой лампе), чтобы включить подсветку на самой лампе.
3. Скачайте с коробки или из инструкции приложение Koran Player по QR-коду или найдите в своем телефоне приложение.
Если у вас Android, то из Google Play Store.
Если у вас iPhone или iPad, то из App Store.
4. Включите Bluetooth на своем телефоне, найдите сопряжение Sq-168.
5. Включите Bluetooth на своем телефоне.
6. Перейдите в настройки Bluetooth.
7. Включите поиск новых устройств.
8. Там должен высветиться список новых доступных устройств для сопряжения.
9. В нем выберите Sq-168.
10. Начните сопряжение и подтвердите его.
11. После того как появится лампа в списке сопряженных устройств, зайдите в приложение и там нажмите на значок настроек (самый правый).
12. Далее нажмите на значок Bluetooth, высветится 168 (название лампы), нажмите на него.


Если не получается или есть еще вопросы напишите нам в чате поддержки покупателей по What сап 7 (962) 559-29-48. мы вам поможем
",,,
