Как забрать заказ в Казани?;Вы можете забрать товар в Казани по адресу: г. Казань, Сибирский тракт, д. 78, этаж 2, офис 216. Перед приездом, пожалуйста, предварительно свяжитесь с нами, чтобы уточнить время.
Все не так как описывается;Здравствуйте! Благодарим вас за отзыв о нашем товаре. Нам очень жаль, что ваши ожидания не оправдались. Чтобы мы могли разобраться в ситуации, пожалуйста, уточните, что именно не соответствует описанию.
Товар не соответствует описанию;Здравствуйте! Благодарим вас за отзыв о нашем товаре. Нам очень жаль, что ваши ожидания не оправдались. Чтобы мы могли разобраться в ситуации, пожалуйста, уточните, что именно не соответствует описанию.
Получил товар, он не такой как в описании;Здравствуйте! Благодарим вас за отзыв о нашем товаре. Нам очень жаль, что ваши ожидания не оправдались. Чтобы мы могли разобраться в ситуации, пожалуйста, уточните, что именно не соответствует описанию.
Почему товар отличается от описания?;Здравствуйте! Благодарим вас за отзыв о нашем товаре. Нам очень жаль, что ваши ожидания не оправдались. Чтобы мы могли разобраться в ситуации, пожалуйста, уточните, что именно не соответствует описанию.
Что делать, если товар не соответствует описанию?;Здравствуйте! Благодарим вас за отзыв о нашем товаре. Нам очень жаль, что ваши ожидания не оправдались. Чтобы мы могли разобраться в ситуации, пожалуйста, уточните, что именно не соответствует описанию.
Нет инструкции;Здравствуйте! Приносим извинения за неудобства. Пожалуйста, уточните название и модель товара — мы отправим вам инструкцию и ответим на все вопросы по функционалу.
У меня нет инструкции к лампе;Здравствуйте! Приносим извинения за неудобства. Пожалуйста, уточните название и модель товара — мы отправим вам инструкцию и ответим на все вопросы по функционалу.
Где взять инструкцию к лампе?;Здравствуйте! Приносим извинения за неудобства. Пожалуйста, уточните название и модель товара — мы отправим вам инструкцию и ответим на все вопросы по функционалу.
Как получить инструкцию?;Здравствуйте! Приносим извинения за неудобства. Пожалуйста, уточните название и модель товара — мы отправим вам инструкцию и ответим на все вопросы по функционалу.
Инструкции нет, что делать?;Здравствуйте! Приносим извинения за неудобства. Пожалуйста, уточните название и модель товара — мы отправим вам инструкцию и ответим на все вопросы по функционалу.
Что нужно хранить для гарантии?;Здравствуйте. Проверяйте комплектацию и осматривайте товар на внешний брак (сколы/трещины и пр.) сразу на ПВЗ, не забирая заказ домой. Далее полный комплект, включая упаковку с QR-кодом ВБ нужно хранить в течение 14 дней. Потом гарантийное обслуживание происходит в течение периода, указанного в карточке товара. По вопросам гарантии обращайтесь в наш чат поддержки.
Подскажите, пожалуйста, что нужно хранить для гарантии?;Здравствуйте. Проверяйте комплектацию и осматривайте товар на внешний брак (сколы/трещины и пр.) сразу на ПВЗ, не забирая заказ домой. Далее полный комплект, включая упаковку с QR-кодом ВБ нужно хранить в течение 14 дней. Потом гарантийное обслуживание происходит в течение периода, указанного в карточке товара. По вопросам гарантии обращайтесь в наш чат поддержки.
Какие документы нужны для гарантии?;Здравствуйте. Проверяйте комплектацию и осматривайте товар на внешний брак (сколы/трещины и пр.) сразу на ПВЗ, не забирая заказ домой. Далее полный комплект, включая упаковку с QR-кодом ВБ нужно хранить в течение 14 дней. Потом гарантийное обслуживание происходит в течение периода, указанного в карточке товара. По вопросам гарантии обращайтесь в наш чат поддержки.
Есть ли в лампе режим повтора суры для заучивания?;Да, в лампе есть режим повтора. На пульте предусмотрена кнопка 'Повтор' — при её нажатии можно воспроизводить один и тот же фрагмент несколько раз.
Подскажите, есть ли повтор суры в лампе?;Да, в лампе есть режим повтора. На пульте предусмотрена кнопка 'Повтор' — при её нажатии можно воспроизводить один и тот же фрагмент несколько раз.
Можно ли включить повтор суры?;Да, в лампе есть режим повтора. На пульте предусмотрена кнопка 'Повтор' — при её нажатии можно воспроизводить один и тот же фрагмент несколько раз.
Как включить повтор суры на лампе?;Да, в лампе есть режим повтора. На пульте предусмотрена кнопка 'Повтор' — при её нажатии можно воспроизводить один и тот же фрагмент несколько раз.
Есть ли функция повторного воспроизведения суры?;Да, в лампе есть режим повтора. На пульте предусмотрена кнопка 'Повтор' — при её нажатии можно воспроизводить один и тот же фрагмент несколько раз.
Нажимаю, но переводит только Коран, хадисы и тафсиры не переводит;Лампа поддерживает перевод только Корана. Тафсиры и хадисы в переводе недоступны.
Почему переводит только Коран, а хадисы и тафсиры нет?;Лампа поддерживает перевод только Корана. Тафсиры и хадисы в переводе недоступны.
Лампа переводит хадисы и тафсиры?;Лампа поддерживает перевод только Корана. Тафсиры и хадисы в переводе недоступны.
Есть ли перевод хадисов в лампе?;Лампа поддерживает перевод только Корана. Тафсиры и хадисы в переводе недоступны.
Можно ли включить перевод тафсиров?;Лампа поддерживает перевод только Корана. Тафсиры и хадисы в переводе недоступны.
Можно заряжать лампу быстрой зарядкой?;Здравствуйте! В лампе нет функции быстрой зарядки. Если использовать блок питания 45–65 Вт, заряжать можно, но скорость зарядки от этого не увеличится.
Поддерживает ли лампа быструю зарядку?;Здравствуйте! В лампе нет функции быстрой зарядки. Если использовать блок питания 45–65 Вт, заряжать можно, но скорость зарядки от этого не увеличится.
Будет ли лампа быстрее заряжаться от мощного блока питания?;Здравствуйте! В лампе нет функции быстрой зарядки. Если использовать блок питания 45–65 Вт, заряжать можно, но скорость зарядки от этого не увеличится.
Можно ли подключать лампу к зарядке 45 Вт или 65 Вт?;Здравствуйте! В лампе нет функции быстрой зарядки. Если использовать блок питания 45–65 Вт, заряжать можно, но скорость зарядки от этого не увеличится.
Поддерживается ли зарядка через мощный адаптер?;Здравствуйте! В лампе нет функции быстрой зарядки. Если использовать блок питания 45–65 Вт, заряжать можно, но скорость зарядки от этого не увеличится.
Покупала у вас лампу, но не могу включить без Bluetooth;Здравствуйте! Возможны разные причины: лампа может быть включена неверно (пожалуйста, проверьте инструкцию), либо иметь скрытый брак. Чтобы мы могли помочь, отправьте нам видео. Мы постараемся разобраться и предложить решение. Если подтвердится брак — будет оформлен возврат. С уважением, команда MalDina.
Не могу включить лампу без Bluetooth;Здравствуйте! Возможны разные причины: лампа может быть включена неверно (пожалуйста, проверьте инструкцию), либо иметь скрытый брак. Чтобы мы могли помочь, отправьте нам видео. Мы постараемся разобраться и предложить решение. Если подтвердится брак — будет оформлен возврат. С уважением, команда MalDina.
Лампа включается только через Bluetooth, это нормально?;Здравствуйте! Возможны разные причины: лампа может быть включена неверно (пожалуйста, проверьте инструкцию), либо иметь скрытый брак. Чтобы мы могли помочь, отправьте нам видео. Мы постараемся разобраться и предложить решение. Если подтвердится брак — будет оформлен возврат. С уважением, команда MalDina.
Почему лампа работает только с Bluetooth?;Здравствуйте! Возможны разные причины: лампа может быть включена неверно (пожалуйста, проверьте инструкцию), либо иметь скрытый брак. Чтобы мы могли помочь, отправьте нам видео. Мы постараемся разобраться и предложить решение. Если подтвердится брак — будет оформлен возврат. С уважением, команда MalDina.
Как включить лампу без Bluetooth?;Здравствуйте! Возможны разные причины: лампа может быть включена неверно (пожалуйста, проверьте инструкцию), либо иметь скрытый брак. Чтобы мы могли помочь, отправьте нам видео. Мы постараемся разобраться и предложить решение. Если подтвердится брак — будет оформлен возврат. С уважением, команда MalDina.
Как удалить отзыв в ВБ?;Удалить или изменить отзыв на Wildberries можно следующим образом: — Через компьютер: войдите в личный кабинет → Профиль → Отзывы и вопросы → Отзывы → выберите нужный отзыв → нажмите на три точки → 'Удалить'. — Через телефон: войдите в личный кабинет → Отзывы и вопросы → Отзывы → 'Дополнить отзыв' → введите новый текст (можно коротко) и при желании измените количество звёзд. Если у вас возникнут сложности, напишите в чат поддержки Wildberries
Можно ли удалить отзыв о товаре в ВБ?;Удалить или изменить отзыв на Wildberries можно следующим образом: — Через компьютер: войдите в личный кабинет → Профиль → Отзывы и вопросы → Отзывы → выберите нужный отзыв → нажмите на три точки → 'Удалить'. — Через телефон: войдите в личный кабинет → Отзывы и вопросы → Отзывы → 'Дополнить отзыв' → введите новый текст (можно коротко) и при желании измените количество звёзд. Если у вас возникнут сложности, напишите в чат поддержки Wildberries
Хочу убрать отзыв с Wildberries, как это сделать?;Удалить или изменить отзыв на Wildberries можно следующим образом: — Через компьютер: войдите в личный кабинет → Профиль → Отзывы и вопросы → Отзывы → выберите нужный отзыв → нажмите на три точки → 'Удалить'. — Через телефон: войдите в личный кабинет → Отзывы и вопросы → Отзывы → 'Дополнить отзыв' → введите новый текст (можно коротко) и при желании измените количество звёзд. Если у вас возникнут сложности, напишите в чат поддержки Wildberries
Где удалить отзыв в приложении ВБ?;Удалить или изменить отзыв на Wildberries можно следующим образом: — Через компьютер: войдите в личный кабинет → Профиль → Отзывы и вопросы → Отзывы → выберите нужный отзыв → нажмите на три точки → 'Удалить'. — Через телефон: войдите в личный кабинет → Отзывы и вопросы → Отзывы → 'Дополнить отзыв' → введите новый текст (можно коротко) и при желании измените количество звёзд. Если у вас возникнут сложности, напишите в чат поддержки Wildberries
Не могу включить лампу цилиндр без часов;"1. Зарядите лампу около 2 часов (возможно, она не заряжена). 
2. Нажмите на кнопку питания на самой лампе (крайняя слева). 
3. Вставьте батарейки в пульт. 
4. Нажмите на кнопку включения на пульте. 
6. Установите громкость на максимум на пульте (иногда на производстве звук отключён). 
Если после этих шагов лампа не включается — отправьте нам видео, мы разберёмся в причине."
Лампа цилиндр без часов не включается;"1. Зарядите лампу около 2 часов (возможно, она не заряжена). 
2. Нажмите на кнопку питания на самой лампе (крайняя слева). 
3. Вставьте батарейки в пульт. 
4. Нажмите на кнопку включения на пульте. 
6. Установите громкость на максимум на пульте (иногда на производстве звук отключён). 
Если после этих шагов лампа не включается — отправьте нам видео, мы разберёмся в причине."
Почему не включается лампа цилиндр без часов?;"1. Зарядите лампу около 2 часов (возможно, она не заряжена). 
2. Нажмите на кнопку питания на самой лампе (крайняя слева). 
3. Вставьте батарейки в пульт. 
4. Нажмите на кнопку включения на пульте. 
6. Установите громкость на максимум на пульте (иногда на производстве звук отключён). 
Если после этих шагов лампа не включается — отправьте нам видео, мы разберёмся в причине."
Что делать, если лампа цилиндр без часов не включается?;"1. Зарядите лампу около 2 часов (возможно, она не заряжена). 
2. Нажмите на кнопку питания на самой лампе (крайняя слева). 
3. Вставьте батарейки в пульт. 
4. Нажмите на кнопку включения на пульте. 
6. Установите громкость на максимум на пульте (иногда на производстве звук отключён). 
Если после этих шагов лампа не включается — отправьте нам видео, мы разберёмся в причине."
Как включить лампу цилиндр без часов?;"1. Зарядите лампу около 2 часов (возможно, она не заряжена). 
2. Нажмите на кнопку питания на самой лампе (крайняя слева). 
3. Вставьте батарейки в пульт. 
4. Нажмите на кнопку включения на пульте. 
6. Установите громкость на максимум на пульте (иногда на производстве звук отключён). 
Если после этих шагов лампа не включается — отправьте нам видео, мы разберёмся в причине."
Хотим подарок;Здравствуйте! Пожалуйста, пришлите скриншот отзыва на приобретённый товар, и мы незамедлительно отправим вам небольшой денежный подарок. Если вы ещё не оставляли отзыв — будем очень благодарны, если сделаете его с фото или видео. С уважением, команда MalDina.
Как получить подарок?;Здравствуйте! Пожалуйста, пришлите скриншот отзыва на приобретённый товар, и мы незамедлительно отправим вам небольшой денежный подарок. Если вы ещё не оставляли отзыв — будем очень благодарны, если сделаете его с фото или видео. С уважением, команда MalDina.
Дарите ли вы подарки покупателям?;Здравствуйте! Пожалуйста, пришлите скриншот отзыва на приобретённый товар, и мы незамедлительно отправим вам небольшой денежный подарок. Если вы ещё не оставляли отзыв — будем очень благодарны, если сделаете его с фото или видео. С уважением, команда MalDina.
Можно ли получить подарок за отзыв?;Здравствуйте! Пожалуйста, пришлите скриншот отзыва на приобретённый товар, и мы незамедлительно отправим вам небольшой денежный подарок. Если вы ещё не оставляли отзыв — будем очень благодарны, если сделаете его с фото или видео. С уважением, команда MalDina.
Даете ли вы подарок за покупку?;Здравствуйте! Пожалуйста, пришлите скриншот отзыва на приобретённый товар, и мы незамедлительно отправим вам небольшой денежный подарок. Если вы ещё не оставляли отзыв — будем очень благодарны, если сделаете его с фото или видео. С уважением, команда MalDina.
Звук на лампе стерео или моно?;Во всех наших лампах используется моно-звучание.
Подскажите, пожалуйста, лампа воспроизводит стерео или моно?;Во всех наших лампах используется моно-звучание.
Есть ли варианты лампы со стереозвуком?;Во всех наших лампах используется моно-звучание.
Лампа играет в стерео?;Во всех наших лампах используется моно-звучание.
Есть ли стереозвук у лампы?;Во всех наших лампах используется моно-звучание.
Какая модель пульта идёт на арабском?;Все наши лампы поставляются с пультом на русском языке
Есть ли у лампы пульт с арабскими подписями?;Все наши лампы поставляются с пультом на русском языке
Какие лампы идут с пультом на арабском языке?;Все наши лампы поставляются с пультом на русском языке
У какой лампы пульт с арабскими надписями?;Все наши лампы поставляются с пультом на русском языке
Где купить лампу с пультом на арабском?;Все наши лампы поставляются с пультом на русском языке
Как слушать лампу на русском?;"Да, функция русского языка есть. Часто возникает путаница: при настройке пользователи нажимают на выбор языков интерфейса (там доступны только английский и арабский). Чтобы включить русский язык, нужно выбрать его, нажимая на кнопку ""перевод"" на пульте."
Можно ли включить русский язык на лампе?;"Да, функция русского языка есть. Часто возникает путаница: при настройке пользователи нажимают на выбор языков интерфейса (там доступны только английский и арабский). Чтобы включить русский язык, нужно выбрать его, нажимая на кнопку ""перевод"" на пульте."
Есть ли в лампе русский язык?;"Да, функция русского языка есть. Часто возникает путаница: при настройке пользователи нажимают на выбор языков интерфейса (там доступны только английский и арабский). Чтобы включить русский язык, нужно выбрать его, нажимая на кнопку ""перевод"" на пульте."
Почему не нахожу русский язык в настройках?;"Да, функция русского языка есть. Часто возникает путаница: при настройке пользователи нажимают на выбор языков интерфейса (там доступны только английский и арабский). Чтобы включить русский язык, нужно выбрать его, нажимая на кнопку ""перевод"" на пульте."
Как включить перевод Корана на русский язык?;"Да, функция русского языка есть. Часто возникает путаница: при настройке пользователи нажимают на выбор языков интерфейса (там доступны только английский и арабский). Чтобы включить русский язык, нужно выбрать его, нажимая на кнопку ""перевод"" на пульте."
Не можем скачать приложение, оно открывается как картинка;Если при сканировании QR-кода приложение открывается как картинка, попробуйте включить VPN и снова перейти по ссылке. После этого скачивание должно начаться корректно.
QR-код открывается как картинка, а не скачивается приложение;Если при сканировании QR-кода приложение открывается как картинка, попробуйте включить VPN и снова перейти по ссылке. После этого скачивание должно начаться корректно.
Не получается скачать приложение по QR-коду;Если при сканировании QR-кода приложение открывается как картинка, попробуйте включить VPN и снова перейти по ссылке. После этого скачивание должно начаться корректно.
Что делать, если приложение не скачивается?;Если при сканировании QR-кода приложение открывается как картинка, попробуйте включить VPN и снова перейти по ссылке. После этого скачивание должно начаться корректно.
Почему вместо приложения по QR-коду открывается картинка?;Если при сканировании QR-кода приложение открывается как картинка, попробуйте включить VPN и снова перейти по ссылке. После этого скачивание должно начаться корректно.
Скажите, пожалуйста, а 'Бакара' есть в списке нашидов?;Здравствуйте! Сура «Аль-Бакара» входит в список сур Корана. Она доступна для прослушивания в лампе.
Есть ли сура Бакара в лампе?;Здравствуйте! Сура «Аль-Бакара» входит в список сур Корана. Она доступна для прослушивания в лампе.
Входит ли сура Бакара в список сур?;Здравствуйте! Сура «Аль-Бакара» входит в список сур Корана. Она доступна для прослушивания в лампе.
Можно ли включить суру Бакара на лампе?;Здравствуйте! Сура «Аль-Бакара» входит в список сур Корана. Она доступна для прослушивания в лампе.
Сура Бакара есть среди сур в лампе?;Здравствуйте! Сура «Аль-Бакара» входит в список сур Корана. Она доступна для прослушивания в лампе.
Заряжала несколько часов, но не видно индикатора зарядки;Здравствуйте! Во время зарядки лампа мигает зелёным цветом. Когда аккумулятор полностью заряжен — лампа горит зелёным без мигания.
Не видно, заряжается ли лампа;Здравствуйте! Во время зарядки лампа мигает зелёным цветом. Когда аккумулятор полностью заряжен — лампа горит зелёным без мигания.
Есть ли индикатор зарядки у лампы?;Здравствуйте! Во время зарядки лампа мигает зелёным цветом. Когда аккумулятор полностью заряжен — лампа горит зелёным без мигания.
Как понять, что лампа зарядилась?;Здравствуйте! Во время зарядки лампа мигает зелёным цветом. Когда аккумулятор полностью заряжен — лампа горит зелёным без мигания.
Лампа не показывает уровень заряда, что делать?;Здравствуйте! Во время зарядки лампа мигает зелёным цветом. Когда аккумулятор полностью заряжен — лампа горит зелёным без мигания.
Как включить не однотонную подсветку в лампе Луна?;Здравствуйте! В лампе 'Луна' можно включить режим смены цветов. Для этого используйте пульт или сенсорное управление: нажмите кнопку переключения режимов подсветки, и лампа начнёт плавно менять цвета. Все наши лампы продаются под брендом MalDina Lamps напрямую с завода. Ждём вас за новыми покупками! С уважением, команда MalDina.
Как включить разноцветную подсветку в лампе Луна?;Здравствуйте! В лампе 'Луна' можно включить режим смены цветов. Для этого используйте пульт или сенсорное управление: нажмите кнопку переключения режимов подсветки, и лампа начнёт плавно менять цвета. Все наши лампы продаются под брендом MalDina Lamps напрямую с завода. Ждём вас за новыми покупками! С уважением, команда MalDina.
Есть ли в лампе Луна режим смены цветов?;Здравствуйте! В лампе 'Луна' можно включить режим смены цветов. Для этого используйте пульт или сенсорное управление: нажмите кнопку переключения режимов подсветки, и лампа начнёт плавно менять цвета. Все наши лампы продаются под брендом MalDina Lamps напрямую с завода. Ждём вас за новыми покупками! С уважением, команда MalDina.
Можно ли сделать, чтобы лампа Луна переливалась разными цветами?;Здравствуйте! В лампе 'Луна' можно включить режим смены цветов. Для этого используйте пульт или сенсорное управление: нажмите кнопку переключения режимов подсветки, и лампа начнёт плавно менять цвета. Все наши лампы продаются под брендом MalDina Lamps напрямую с завода. Ждём вас за новыми покупками! С уважением, команда MalDina.
